,Y22_FaceAreaTimesDepth,Y22_CaratTimesXYAsymmetry,Y22_MeanXYPerCaratCubeRoot,Y22_CaratPerVolume,Y22_ZPerCaratCubeRoot,Y22_DepthError,Y22_AbsDepthError,Y22_XYRatio,Y22_DepthTimesTable,Y22_DepthTableRatio
Y22_FaceAreaTimesDepth,1.0,0.5523700894091377,-0.16524251588999783,0.19952390627895672,-0.08169557322361579,-0.00019409418942551644,0.007126038926336006,0.13688383119281636,0.19381044463794858,-0.11643829547998201
Y22_CaratTimesXYAsymmetry,0.5523700894091377,1.0,-0.19818252001783862,0.2774421833614297,-0.06009817373205606,-0.07280859546965526,0.11946922596143361,0.43791180631520854,0.19713022265348903,-0.10252164471632648
Y22_MeanXYPerCaratCubeRoot,-0.16524251588999783,-0.19818252001783862,1.0,-0.6388044102324263,-0.4287850297696138,0.048571297995057564,-0.009920886440834413,-0.14912393317355407,-0.4987148336196372,-0.3809650294804543
Y22_CaratPerVolume,0.19952390627895672,0.2774421833614297,-0.6388044102324263,1.0,-0.28803451339072167,0.4429438479686719,0.43721869599632396,0.21033838084310544,0.43147012000008583,-0.05319773441701859
Y22_ZPerCaratCubeRoot,-0.08169557322361579,-0.06009817373205606,-0.4287850297696138,-0.28803451339072167,1.0,-0.4147492608256878,-0.1306333571545021,-0.061341934682982366,0.04102071691523251,0.6916269015732898
Y22_DepthError,-0.00019409418942551644,-0.07280859546965526,0.048571297995057564,0.4429438479686719,-0.4147492608256878,1.0,0.18962579579351943,0.007688289572225136,0.0024076334484130764,0.009007331907003332
Y22_AbsDepthError,0.007126038926336006,0.11946922596143361,-0.009920886440834413,0.43721869599632396,-0.1306333571545021,0.18962579579351943,1.0,0.05654785853608727,-0.009523429696763903,-0.00864660121846383
Y22_XYRatio,0.13688383119281636,0.43791180631520854,-0.14912393317355407,0.21033838084310544,-0.061341934682982366,0.007688289572225136,0.05654785853608727,1.0,0.16653585097750326,-0.07775699400213526
Y22_DepthTimesTable,0.19381044463794858,0.19713022265348903,-0.4987148336196372,0.43147012000008583,0.04102071691523251,0.0024076334484130764,-0.009523429696763903,0.16653585097750326,1.0,-0.48196630644612926
Y22_DepthTableRatio,-0.11643829547998201,-0.10252164471632648,-0.3809650294804543,-0.05319773441701859,0.6916269015732898,0.009007331907003332,-0.00864660121846383,-0.07775699400213526,-0.48196630644612926,1.0
